iter	TotalF1	MultiClass
133	0.5943765612	0.8770275161
134	0.5936780597	0.8762883415
135	0.5953461151	0.8755102392
136	0.5954377211	0.8748031397
137	0.5968611817	0.8744081659
138	0.5969008811	0.873829107
139	0.5975841199	0.8733543616
140	0.5970958381	0.8725195507
141	0.596921198	0.8721137789
142	0.5997098902	0.8713066159
143	0.6000300187	0.8707755894
144	0.5999845851	0.8697846156
145	0.5997646075	0.8693983703
146	0.6013849699	0.8687430969
147	0.6035552806	0.868075758
148	0.6035466884	0.8675831142
149	0.6042095036	0.8670876549
150	0.6035431752	0.866384219
151	0.6040714129	0.8661271141
152	0.6040600895	0.8656499237
153	0.6033511378	0.8652199141
154	0.6038670515	0.8646372847
155	0.6032256227	0.8639557915
156	0.6022568486	0.8632944164
157	0.6027656752	0.8628624686
158	0.6035934945	0.8622304382
159	0.6033673255	0.8618471696
160	0.6037658196	0.8613179141
161	0.6046787277	0.860889537
162	0.6042540786	0.8603428032
163	0.6069183231	0.859619912
164	0.6060502903	0.8589299663
165	0.610163034	0.858177707
166	0.6107132042	0.8577621912
167	0.6124665706	0.8572657075
168	0.6118698106	0.8569579145
169	0.6122338969	0.8564902578
170	0.6123344232	0.8560050867
171	0.6142438817	0.8552510662
172	0.6150619182	0.854799015
173	0.6150228842	0.8542796096
174	0.6144479321	0.8540590244
175	0.6138155203	0.8534909433
176	0.615288398	0.852979458
177	0.6156931394	0.8522089698
178	0.6149955989	0.8518202789
179	0.6151584195	0.8513041473
180	0.6145308718	0.8511379192
181	0.6150933379	0.8506350456
182	0.6160064581	0.8503287312
183	0.6152443217	0.8494454126
184	0.6157699291	0.8491949399
185	0.6165683384	0.8484995307
186	0.6177605692	0.848281561
187	0.6178866101	0.8477555693
188	0.6186205996	0.8473547725
189	0.6189099116	0.8469050079
190	0.6187927085	0.8459866445
191	0.6184426188	0.8454762482
192	0.6182007568	0.8451007022
193	0.619172123	0.8446148558
194	0.6194338898	0.8442467878
195	0.6196429745	0.8436457162
196	0.6204879918	0.8431607309
197	0.6217824474	0.8421860835
198	0.6224103992	0.8415177924
199	0.6214419286	0.8410364589
200	0.6237059342	0.8404791085
201	0.6237598106	0.8400172054
202	0.622984772	0.8392437688
203	0.623499265	0.838919563
204	0.62504215	0.8382961945
205	0.6249800979	0.838282604
206	0.6236605868	0.8377577369
207	0.624372375	0.837348102
208	0.6252375172	0.8368643509
209	0.6249738683	0.8361030342
210	0.6260301023	0.8351724106
211	0.6268002472	0.8345653616
212	0.6265910176	0.8344076048
213	0.6265485788	0.8340748286
214	0.6275706858	0.8333517318
215	0.6278977608	0.8329221707
216	0.6289189725	0.8322185213
217	0.6295849093	0.8318730712
218	0.6293661425	0.831563667
219	0.629471491	0.8313045432
220	0.6309549869	0.8308115652
221	0.6317313047	0.829791474
222	0.6329582807	0.8293334509
223	0.633480255	0.8289718261
224	0.6334134211	0.8286170793
225	0.6322684893	0.828424278
226	0.6329496315	0.8274676544
227	0.633365382	0.8271948006
228	0.6337758155	0.8267463595
229	0.634062715	0.8262343468
230	0.6348799396	0.8256806621
231	0.6360194725	0.8253159816
232	0.6371062113	0.8248485573
233	0.6376165365	0.8242306179
234	0.6379329151	0.8235357292
235	0.6385720791	0.8232043585
236	0.6386548771	0.8226231918
237	0.6397195576	0.8220316644
238	0.6400706516	0.821534847
239	0.6403577838	0.8210251417
240	0.6408732735	0.8204140597
241	0.6409284471	0.8200856758
242	0.6395452945	0.8197597558
243	0.6401296505	0.8193306838
244	0.6402384654	0.8190195208
245	0.6391139438	0.8182872096
246	0.6403040214	0.8177383245
247	0.6413232586	0.817382477
248	0.64126124	0.8168208503
249	0.6419175421	0.816435645
250	0.6422701838	0.8161755024
251	0.6425174249	0.8159744676
252	0.6427713284	0.8155913268
253	0.6435912267	0.8152570151
254	0.6441506423	0.8144206855
255	0.6441272549	0.8140057293
256	0.6453101268	0.8133665442
257	0.6450583948	0.8129195097
258	0.6451576714	0.8126334585
259	0.6458728787	0.8123121006
260	0.6458204234	0.8118179545
261	0.64539367	0.811328576
262	0.6449905875	0.8110325222
263	0.646734604	0.8104984523
264	0.6466490352	0.8100578364
265	0.6485409972	0.8096328037
266	0.6491748107	0.8089172906
267	0.6488038834	0.8081138754
268	0.6493093663	0.8077560985
269	0.650061048	0.8070426029
270	0.6505527047	0.8066892368
271	0.652816111	0.8058019812
272	0.6521058212	0.8052558018
273	0.6526651824	0.8047626795
274	0.6529956923	0.8044378319
275	0.6531681144	0.8040492371
276	0.6532453152	0.8037454023
277	0.6544176813	0.8032735753
278	0.6547429248	0.8030937167
279	0.653485414	0.802416672
280	0.6559345836	0.8018369192
281	0.6568294953	0.8014270568
282	0.6566360994	0.8008549915
283	0.6571168119	0.8003103674
