fixture_id,home_team_id,away_team_id,season,league_key,venue_code,opp_code,hour,day_code,home_goals_scored_rolling,home_goals_conceded_rolling,home_wins_rolling,home_clean_sheets_rolling,home_win_streak,home_form_momentum,opp_goals_scored_rolling,opp_goals_conceded_rolling,opp_wins_rolling,opp_clean_sheets_rolling,opp_win_streak,opp_form_momentum,h2h_win_rate,home_elo,away_elo,elo_diff,home_form_at_home,away_form_away,home_xg,away_xg,forecast_home_win,forecast_draw,forecast_away_win,home_xg_rolling,opp_xg_rolling,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_possession,away_possession,home_injuries,away_injuries,injury_diff,home_goals,away_goals,result,match_date,attack_vs_defence,opp_attack_vs_defence,form_diff,goal_diff_rolling,opp_goal_diff_rolling,home_sot_ratio,away_sot_ratio,sot_diff,possession_diff,corners_diff,shots_diff,shots_on_target_diff,xg_diff,xg_rolling_diff,home_form_adj,away_form_adj,form_adj_diff,venue_elo_boost
610767,84,244,2021,LIGA,1,244,17,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,4.0,3.0,34.2,65.8,0,0,0,1,1,1,2021-08-14 17:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.599999999999994,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610762,97,88,2021,LIGA,1,88,20,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,0.5794,0.5837,0.2966,0.4217,0.2817,0.0,0.0,14.0,10.0,0.0,0.0,4.0,6.0,52.9,47.1,0,0,0,0,0,1,2021-08-14 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799999999999997,-2.0,4.0,0.0,-0.0042999999999999705,0.0,0.0,0.0,0.0,0.0
610768,96,86,2021,LIGA,1,86,20,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,1.411,2.1555,0.1984,0.2402,0.5614,0.0,0.0,11.0,19.0,1.0,0.0,0.0,4.0,40.7,59.3,0,0,0,1,4,0,2021-08-14 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0900900900900901,0.0,0.0900900900900901,-18.599999999999994,-4.0,-8.0,1.0,-0.7444999999999999,0.0,0.0,0.0,0.0,0.0
606037,361,371,2021,EPL,1,371,13,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,1.6793,3.0094,0.1222,0.1825,0.6953,0.0,0.0,17.0,18.0,0.0,0.0,7.0,6.0,46.4,53.6,0,0,0,2,4,0,2021-08-15 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.200000000000003,1.0,-1.0,0.0,-1.3300999999999998,0.0,0.0,0.0,0.0,0.0
606035,367,382,2021,EPL,1,382,15,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,1.0601,2.1059,0.143,0.2222,0.6348,0.0,0.0,13.0,18.0,0.0,0.0,3.0,11.0,34.4,65.6,0,0,0,1,0,2,2021-08-15 15:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.199999999999996,-8.0,-5.0,0.0,-1.0458,0.0,0.0,0.0,0.0,0.0
610761,85,1068,2021,LIGA,1,1068,15,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,1.594,1.805,0.2949,0.2955,0.4096,0.0,0.0,10.0,13.0,1.0,0.0,2.0,5.0,53.2,46.8,0,0,0,1,2,0,2021-08-15 15:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.09900990099009901,0.0,0.09900990099009901,6.400000000000006,-3.0,-3.0,1.0,-0.21099999999999985,0.0,0.0,0.0,0.0,0.0
610769,83,89,2021,LIGA,1,89,18,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,3.4648,0.9023,0.9194,0.0596,0.021,0.0,0.0,13.0,11.0,0.0,0.0,5.0,3.0,61.7,38.3,0,0,0,4,2,2,2021-08-15 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.400000000000006,2.0,2.0,0.0,2.5625,0.0,0.0,0.0,0.0,0.0
610766,243,101,2021,LIGA,1,101,20,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,3.674,0.4841,0.973,0.023,0.004,0.0,0.0,21.0,4.0,1.0,0.0,4.0,0.0,75.3,24.7,0,0,0,3,0,2,2021-08-15 20:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.04739336492890995,0.0,0.04739336492890995,50.599999999999994,4.0,17.0,1.0,3.1898999999999997,0.0,0.0,0.0,0.0,0.0
610764,102,3747,2021,LIGA,1,3747,18,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,6.0,2.0,60.5,39.5,0,0,0,0,0,1,2021-08-16 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610760,3751,93,2021,LIGA,1,93,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,1.2179,0.2467,0.6516,0.2824,0.066,0.0,0.0,8.0,9.0,0.0,0.0,6.0,8.0,50.2,49.8,0,0,0,0,0,1,2021-08-16 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000057,-2.0,-1.0,0.0,0.9712,0.0,0.0,0.0,0.0,0.0
