fixture_id,home_team_id,away_team_id,season,league_key,venue_code,opp_code,hour,day_code,goals_scored_rolling,goals_conceded_rolling,wins_rolling,clean_sheets_rolling,win_streak,form_momentum,opp_goals_scored_rolling,opp_goals_conceded_rolling,opp_wins_rolling,opp_clean_sheets_rolling,opp_win_streak,opp_form_momentum,h2h_win_rate,home_elo,away_elo,elo_diff,home_form_at_home,away_form_away,home_xg,away_xg,forecast_home_win,forecast_draw,forecast_away_win,home_xg_rolling,opp_xg_rolling,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_possession,away_possession,home_injuries,away_injuries,injury_diff
610761,85,1068,2021,LIGA,1,1068,15,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,1.594,1.805,0.2949,0.2955,0.4096,0.0,0.0,10.0,13.0,1.0,0.0,2.0,5.0,53.2,46.8,0,0,0
610769,83,89,2021,LIGA,1,89,18,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,3.4648,0.9023,0.9194,0.0596,0.021,0.0,0.0,13.0,11.0,0.0,0.0,5.0,3.0,61.7,38.3,0,0,0
610766,243,101,2021,LIGA,1,101,20,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,3.674,0.4841,0.973,0.023,0.004,0.0,0.0,21.0,4.0,1.0,0.0,4.0,0.0,75.3,24.7,0,0,0
610764,102,3747,2021,LIGA,1,3747,18,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,6.0,2.0,60.5,39.5,0,0,0
610760,3751,93,2021,LIGA,1,93,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,1.2179,0.2467,0.6516,0.2824,0.066,0.0,0.0,8.0,9.0,0.0,0.0,6.0,8.0,50.2,49.8,0,0,0
610751,244,3842,2021,LIGA,1,3842,19,4,1.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,1.8234,1.4533,0.4555,0.277,0.2675,0.0,0.0,16.0,8.0,0.0,1.0,4.0,5.0,74.3,25.7,0,0,0
606020,364,379,2021,EPL,1,379,11,5,3.0,0.0,1.0,1.0,1,1.0,1.0,2.0,0.0,0.0,0,0.0,0.5,1510.0,1490.0,20.0,1.0,0.0,2.6394,0.6905,0.8118,0.1329,0.0553,0.0,0.0,27.0,9.0,0.0,0.0,8.0,4.0,66.5,33.5,0,0,0
606025,362,361,2021,EPL,1,361,14,5,2.0,3.0,0.0,0.0,0,0.0,2.0,4.0,0.0,0.0,0,0.0,0.5,1490.0,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,1.0,0.0,3.0,4.0,47.3,52.7,0,0,0
606026,382,381,2021,EPL,1,381,14,5,0.0,1.0,0.0,0.0,0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.5,1490.0,1490.0,0.0,0.0,0.0,2.4393,0.025,0.9626,0.0367,0.0007,0.0,0.0,16.0,1.0,0.0,0.0,6.0,1.0,66.9,33.1,0,0,0
606019,384,337,2021,EPL,1,337,14,5,0.0,3.0,0.0,0.0,0,0.0,2.0,0.0,1.0,1.0,1,1.0,0.5,1490.0,1510.0,-20.0,0.0,1.0,0.6063,0.7124,0.2744,0.3907,0.3349,0.0,0.0,7.0,14.0,0.0,0.0,3.0,5.0,52.7,47.3,0,0,0
606022,357,368,2021,EPL,1,368,14,5,1.0,5.0,0.0,0.0,0,0.0,3.0,1.0,1.0,0.0,1,1.0,0.5,1490.0,1510.0,-20.0,0.0,1.0,0.9661,1.8571,0.1373,0.232,0.6307,0.0,0.0,17.0,17.0,0.0,1.0,8.0,5.0,70.0,30.0,0,0,0
610754,96,84,2021,LIGA,1,84,15,5,1.0,4.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.5,1490.0,1500.0,-10.0,0.0,0.0,0.921,0.8241,0.369,0.3405,0.2905,1.411,0.0,9.0,12.0,0.0,0.0,1.0,8.0,47.3,52.7,0,0,0
606028,331,395,2021,EPL,1,395,16,5,2.0,1.0,1.0,0.0,1,1.0,3.0,2.0,1.0,0.0,1,1.0,0.5,1510.0,1510.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,7.0,2.0,56.9,43.1,0,0,0
610759,88,102,2021,LIGA,1,102,17,5,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,1.6886,0.5972,0.67,0.2256,0.1044,0.0,0.0,14.0,12.0,0.0,0.0,9.0,7.0,40.4,59.6,0,0,0
610758,3747,94,2021,LIGA,1,94,17,5,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,1.0,1,1.0,0.5,1500.0,1510.0,-10.0,0.0,1.0,0.7527,1.5002,0.1407,0.2794,0.5799,0.0,0.0,9.0,18.0,0.0,1.0,2.0,6.0,46.3,53.7,0,0,0
610750,93,83,2021,LIGA,1,83,20,5,0.0,0.0,0.0,1.0,0,0.0,4.0,2.0,1.0,0.0,1,1.0,0.5,1500.0,1510.0,-10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,0.0,13.0,2.0,32.8,67.2,0,0,0
606027,380,367,2021,EPL,1,367,13,6,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1,1.0,0.5,1490.0,1510.0,-20.0,0.0,1.0,1.5113,1.7264,0.2871,0.276,0.4369,0.0,0.0,25.0,8.0,0.0,1.0,5.0,4.0,57.8,42.2,0,0,0
606024,376,360,2021,EPL,1,360,13,6,1.0,3.0,0.0,0.0,0,0.0,5.0,1.0,1.0,0.0,1,1.0,0.5,1490.0,1510.0,-20.0,0.0,1.0,0.5875,2.2617,0.0446,0.1431,0.8123,0.0,0.0,8.0,15.0,0.0,0.0,7.0,7.0,36.4,63.6,0,0,0
610755,89,101,2021,LIGA,1,101,15,6,2.0,4.0,0.0,0.0,0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.5,1490.0,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4841,13.0,9.0,1.0,0.0,5.0,4.0,61.2,38.8,0,0,0
606021,359,363,2021,EPL,1,363,15,6,0.0,2.0,0.0,0.0,0,0.0,3.0,0.0,1.0,1.0,1,1.0,0.5,1490.0,1510.0,-20.0,0.0,1.0,0.6301,3.6413,0.0088,0.0395,0.9517,0.0,0.0,6.0,22.0,0.0,0.0,9.0,8.0,35.0,65.0,0,0,0
610753,1068,3751,2021,LIGA,1,3751,17,6,2.0,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0,0.0,0.5,1510.0,1500.0,10.0,1.0,0.0,2.2691,0.7632,0.7742,0.1628,0.063,0.0,0.0,8.0,4.0,0.0,0.0,2.0,1.0,41.8,58.2,0,0,0
610756,1538,86,2021,LIGA,1,86,20,6,1.0,1.0,0.0,0.0,0,0.0,4.0,1.0,1.0,0.0,1,1.0,0.5,1500.0,1510.0,-10.0,0.0,1.0,1.6384,2.1412,0.2526,0.2537,0.4937,0.0,2.1555,8.0,20.0,0.0,0.0,4.0,6.0,38.6,61.4,0,0,0
610757,2922,243,2021,LIGA,1,243,18,0,0.0,1.0,0.0,0.0,0,0.0,3.0,0.0,1.0,1.0,1,1.0,0.5,1490.0,1510.0,-20.0,0.0,1.0,0.3919,0.8139,0.1477,0.3762,0.4761,0.0,0.0,12.0,9.0,0.0,0.0,5.0,4.0,38.6,61.4,0,0,0
